from,to,relation
HPR,AD,3
FH,GA,7
MF,MR,5
MF,DB,3
MF,PO,7
MF,QD,8
ME,MI,3
ME,KSK,6
ME,QD,8
ME,RP,2
ME,MVH,2
ME,EA,8
CW,WI,7
CW,QD,8
CW,AFD,3
CW,VPA,3
RHL,PL,7
RHL,AFD,3
RP,MI,3
RP,KSK,3
RP,QD,8
RP,VPA,3
RP,PW,1
RP,MVH,2
RP,ME,2
PG,JU,7
PG,QD,8
MVH,MI,7
MVH,KSK,3
MVH,QD,8
MVH,ME,3
MVH,RP,3
MVH,EA,8
MR,AR,7
MR,MF,5
PW,EA,8
PW,MI,3
PW,RP,1
RR,KU,7
RR,QD,8
BMW,PL,7
BMW,AFD,3
BMW,QD,8
